path,prediction
satellite_images\2023\nbr_2023-06-01.png,No fire
satellite_images\2023\nbr_2023-06-04.png,No fire
satellite_images\2023\nbr_2023-06-06.png,No fire
satellite_images\2023\nbr_2023-06-09.png,Fire
satellite_images\2023\nbr_2023-06-11.png,Fire
satellite_images\2023\nbr_2023-06-14.png,Fire
satellite_images\2023\nbr_2023-06-16.png,Fire
satellite_images\2023\nbr_2023-06-19.png,Fire
satellite_images\2023\nbr_2023-06-26.png,Fire
satellite_images\2023\nbr_2023-07-09.png,Fire
satellite_images\2023\nbr_2023-07-11.png,Fire
satellite_images\2023\nbr_2023-07-14.png,Fire
satellite_images\2023\nbr_2023-07-16.png,Fire
satellite_images\2023\nbr_2023-07-19.png,Fire
satellite_images\2023\nbr_2023-07-21.png,Fire
satellite_images\2023\nbr_2023-07-26.png,Fire
satellite_images\2023\nbr_2023-07-29.png,Fire
satellite_images\2023\nbr_2023-08-03.png,Fire
satellite_images\2023\nbr_2023-08-05.png,Fire
satellite_images\2023\nbr_2023-08-08.png,Fire
satellite_images\2023\nbr_2023-08-18.png,Fire
satellite_images\2023\nbr_2023-08-20.png,Fire
satellite_images\2023\nbr_2023-08-23.png,Fire
satellite_images\2023\nbr_2023-08-30.png,Fire
